# Time (Hours), Altitude, Semi Major Axis, Eccentricity, Inclination, Argument Of Periapsis, RAAN, True Anomaly, Acceleration Norm PM Sun, Acceleration Norm PM Moon, Acceleration Norm PM Mars, Acceleration Norm PM Venus, Acceleration Norm SH Earth, Acceleration Norm Aero Earth, Acceleration Norm RP Sun
1.466666666666666563e+00,5.890088232119297800e+02,6.990961068654279188e+03,8.797437606070490634e-03,9.774848350721899237e+01,2.869912342577499231e+01,3.233910358057453891e+02,2.997708253946125296e+02,5.523792292136235451e-07,1.014418589289246893e-06,3.684605391591913605e-13,1.224874524169989280e-11,8.230696085114942662e+00,7.474215841088993804e-08,8.891231079337881839e-08
1.500000000000000000e+00,5.823477841833504272e+02,6.992989570153752538e+03,9.013294575992978827e-03,9.774732793268562148e+01,2.741072583624601222e+01,3.233916540394625372e+02,3.085592173316095455e+02,5.654467650866626296e-07,1.037299385040198275e-06,3.688137039948875353e-13,1.275242737129164361e-11,8.250045009970859766e+00,8.260299016615016337e-08,8.891252227828889955e-08
1.533333333333333437e+00,5.762686701166518333e+02,6.994599389102266286e+03,9.252747048046234060e-03,9.774640136077996999e+01,2.686091212921610705e+01,3.233920033005156824e+02,3.166237273730899915e+02,5.714249473613620591e-07,1.048003406869912824e-06,3.649450638212814339e-13,1.314106614845296956e-11,8.267320346117950081e+00,9.055501008066418084e-08,8.891259337822775552e-08
1.566666666666666652e+00,5.708633239213889965e+02,6.995671496816756189e+03,9.466714502769665515e-03,9.774576394029006110e+01,2.700219803759331683e+01,3.233921527460991570e+02,3.240102688852663846e+02,5.701025459394479180e-07,1.046183255740885919e-06,3.569694016251763499e-13,1.339850935667316252e-11,8.282079498691404140e+00,9.830811872496055783e-08,8.891252161754940087e-08
1.600000000000000089e+00,5.662169094883091702e+02,6.996124650350504453e+03,9.613740275685844772e-03,9.774545737459351358e+01,2.768946743622313633e+01,3.233921848865519451e+02,3.308621338100853109e+02,5.614946008923351722e-07,1.031847471361714359e-06,3.451553478004446663e-13,1.351444295468005988e-11,8.293963966089462403e+00,1.055306989402860306e-07,8.891230702768435630e-08
1.633333333333333304e+00,5.624069503254220308e+02,6.995922256928241950e+03,9.664799838651403491e-03,9.774550154577357830e+01,2.872428542213336300e+01,3.233921906083837712e+02,3.373757158972092043e+02,5.458463497423657461e-07,1.005366893486924316e-06,3.299377717625373457e-13,1.348412325305290267e-11,8.302714129705119461e+00,1.118518782920141938e-07,8.891195217518211695e-08
1.666666666666666741e+00,5.595020926554650487e+02,6.995075399886992273e+03,9.605616152532546470e-03,9.774589225275460080e+01,2.988313507623518106e+01,3.233922632019920798e+02,3.437723157579690110e+02,5.236455288270570891e-07,9.675004625030509975e-07,3.119378317981358391e-13,1.330828787030831559e-11,8.308176987970455230e+00,1.169223364938357403e-07,8.891146213507609552e-08
1.699999999999999956e+00,5.575606210532243949e+02,6.993641955275475084e+03,9.437458567751336527e-03,9.774660068143943192e+01,3.093215693490340357e+01,3.233924916910653451e+02,3.502834473440576630e+02,4.956460308247099958e-07,9.194453033837094714e-07,2.919928930885129489e-13,1.299322658375754290e-11,8.310307434656618142e+00,1.204048608503915059e-07,8.891084440870007846e-08
1.733333333333333393e+00,5.566287957922518217e+02,6.991722151341572498e+03,9.177049982485217805e-03,9.774757506401854812e+01,3.163671716301556458e+01,3.233929541269200172e+02,3.571413184863139350e+02,4.629090129444069781e-07,8.629209993403794202e-07,2.711967033169284302e-13,1.255101818315233520e-11,8.309164359734857896e+00,1.220665274347581181e-07,8.891010878741838602e-08
1.766666666666666607e+00,5.567391047194022349e+02,6.989451136497637890e+03,8.855704998455444024e-03,9.774874456897116204e+01,3.177601400564582690e+01,3.233937117178277845e+02,4.564274579078565708e+00,4.268709637931347149e-07,8.003034135257797993e-07,2.509418454183679547e-13,1.199996343251084485e-11,8.304902751664496208e+00,1.217595368206844364e-07,8.890926716595440874e-08
