fluxdate,fluxobsflux
20060105,81.5
20060105,83.4
20060105,83.9
20060106,80.6
20060106,82.0
20060106,82.5
20060107,77.6
20060107,79.2
20060107,79.6
20060108,77.9
20060108,78.2
20060108,78.8
20060109,76.4
20060109,77.6
20060109,78.1
20060110,75.4
20060110,77.8
20060110,78.5
20060111,75.9
20060111,77.3
20060111,77.9
20060112,75.0
20060112,76.5
20060112,76.9
20060113,75.1
20060113,76.5
20060113,77.4
20060114,76.4
20060114,77.4
20060114,78.1
20060115,79.6
20060115,80.9
20060115,82.6
20060116,82.7
20060116,83.8
20060116,84.0
20060117,78.9
20060117,82.5
20060117,83.8
20060118,84.1
20060118,85.6
20060118,87.4
20060119,88.1
20060119,88.6
20060119,89.0
20060120,90.2
20060120,90.7
20060120,92.3
20060121,93.4
20060121,93.8
20060121,93.7
20060122,92.5
20060122,92.8
20060122,93.0
20060123,90.1
20060123,92.4
20060123,94.5
20060124,91.6
20060124,92.6
20060124,91.7
20060125,89.9
20060125,89.0
20060125,90.4
20060126,86.9
20060126,86.9
20060126,87.5
20060127,83.0
20060127,83.5
20060127,84.1
20060128,80.0
20060128,81.8
20060129,78.5
20060129,79.5
20060129,80.2
20060130,77.8
20060130,78.8
20060130,79.1
20060131,76.9
20060131,77.6
20060131,77.9
20060201,76.8
20060201,77.6
20060201,77.7
20060202,76.9
20060202,77.3
20060202,77.6
20060203,78.8
20060203,78.7
20060203,78.7
20060204,76.8
20060204,77.0
20060204,77.3
20060205,75.7
20060205,76.3
20060205,76.0
20060206,74.9
20060206,74.9
20060206,75.0
20060207,73.9
20060207,74.0
20060207,74.6
20060208,73.3
20060208,74.0
20060208,74.6
20060209,74.4
20060209,74.8
20060209,75.0
20060210,75.0
20060210,75.2
20060210,75.7
20060211,75.8
20060211,76.0
20060211,76.7
20060212,75.2
20060212,76.0
20060212,76.2
20060213,76.1
20060213,76.3
20060213,76.8
20060214,76.5
20060214,77.3
20060214,77.7
20060215,78.1
20060215,78.5
20060215,79.0
20060216,78.5
20060216,79.2
20060216,78.7
20060217,79.1
20060217,79.2
20060217,79.5
20060218,78.1
20060218,78.5
20060218,79.2
20060219,76.4
20060219,76.5
20060219,76.3
20060220,76.0
20060220,76.2
20060220,76.2
20060221,75.8
20060221,75.9
20060221,76.0
20060222,75.8
20060222,76.0
20060222,75.6
20060223,75.0
20060223,75.1
20060223,75.8
20060224,75.9
20060224,76.0
20060224,76.3
20060225,75.9
20060225,76.0
20060225,76.0
20060226,76.5
20060226,76.5
20060226,76.7
20060227,76.9
20060227,77.0
20060227,77.7
20060228,76.0
20060228,77.1
20060228,77.9
20060301,76.6
20060301,77.0
20060301,77.4
20060302,76.2
20060302,76.1
20060302,76.4
20060303,75.1
20060303,75.5
20060303,76.1
20060304,74.7
20060304,75.0
20060304,75.3
20060305,73.8
20060305,74.2
20060305,74.2
20060306,73.3
20060306,73.6
20060306,74.3
20060307,74.5
20060307,74.4
20060307,74.8
20060308,70.9
20060308,72.4
20060308,72.3
20060309,72.1
20060309,72.9
20060309,72.6
20060310,71.7
20060310,72.2
20060310,74.0
20060311,73.9
20060311,74.0
20060311,74.5
20060312,73.1
20060312,73.2
20060312,73.4
20060313,72.1
20060313,72.6
20060313,73.2
20060314,73.3
20060314,73.6
20060314,74.0
20060315,73.9
20060315,74.2
20060315,73.9
20060316,72.1
20060316,72.4
20060316,73.0
20060317,71.6
20060317,72.0
20060317,73.3
20060318,73.0
20060318,72.4
20060318,73.3
20060319,75.2
20060319,75.2
20060319,74.8
20060320,76.1
20060320,76.9
20060320,76.6
20060321,77.9
20060321,76.7
20060321,78.6
20060322,76.4
20060322,75.9
20060322,76.6
20060323,75.9
20060323,76.6
20060323,76.2
20060324,75.4
20060324,75.8
20060324,75.7
20060325,75.2
20060325,75.6
20060325,75.3
20060326,73.8
20060326,73.6
20060326,74.4
20060327,73.7
20060327,74.3
20060327,75.7
20060328,77.9
20060328,79.3
20060328,78.9
20060329,81.1
20060329,81.7
20060329,82.9
20060330,83.6
20060330,83.9
20060330,85.2
20060331,85.1
20060331,86.3
20060331,86.1
20060401,86.7
20060401,87.0
20060401,87.3
20060402,90.7
20060402,91.1
20060402,91.8
20060403,103.0
20060403,100.4
20060403,102.7
20060404,99.5
20060404,99.5
20060404,99.8
20060405,99.5
20060405,99.0
20060405,100.9
20060406,99.3
20060406,98.9
20060406,101.9
20060407,95.4
20060407,94.5
20060407,95.2
20060408,90.9
20060408,91.0
20060408,90.8
20060409,88.8
20060409,89.2
20060409,89.5
20060410,87.1
20060410,88.7
20060410,87.7
20060411,84.7
20060411,89.7
20060411,84.8
20060412,81.4
20060412,81.1
20060412,81.4
20060413,79.9
20060413,80.0
20060413,79.5
20060414,78.2
20060414,78.9
20060414,78.9
20060415,77.5
20060415,78.4
20060415,78.4
20060416,76.7
20060416,76.5
20060416,76.9
20060417,76.2
20060417,77.9
20060417,76.5
20060418,75.4
20060418,75.8
20060419,75.2
20060419,75.8
20060419,76.1
20060420,78.2
20060420,78.6
20060420,78.7
20060421,78.7
20060421,79.2
20060421,80.4
20060422,83.1
20060422,82.4
20060422,83.6
20060423,85.7
20060423,86.7
20060423,87.6
20060424,91.2
20060424,92.8
20060424,93.3
20060425,96.7
20060425,95.1
20060425,96.6
20060426,100.1
20060426,100.0
20060426,99.6
20060427,106.7
20060427,100.7
20060427,101.4
20060428,101.4
20060428,100.1
20060428,101.4
20060429,102.5
20060429,101.2
20060429,102.5
20060430,100.2
20060430,99.9
20060430,99.1
20060501,95.9
20060501,93.4
20060501,91.5
20060502,89.1
20060502,89.4
20060502,90.1
20060503,89.1
20060503,89.0
20060503,89.5
20060504,90.5
20060504,91.8
20060504,90.5
20060505,87.5
20060505,86.7
20060505,87.7
20060506,86.4
20060506,87.0
20060506,86.2
20060507,85.7
20060507,86.2
20060507,86.6
20060508,84.5
20060508,84.7
20060508,85.0
20060509,82.4
20060509,82.6
20060509,82.0
20060510,78.2
20060510,78.2
20060510,77.8
20060511,75.6
20060511,76.4
20060511,76.6
20060512,75.2
20060512,75.7
20060512,75.4
20060513,73.6
20060513,73.5
20060513,73.4
20060514,72.2
20060514,72.0
20060514,72.4
20060515,71.7
20060515,71.7
20060515,71.8
20060516,70.7
20060516,71.5
20060516,71.8
20060517,71.5
20060517,72.0
20060517,73.3
20060518,72.8
20060518,73.3
20060518,73.5
20060519,74.7
20060519,75.3
20060519,76.0
20060520,75.9
20060520,76.2
20060520,77.2
